millet,state,district,year,month,modal_price
jowar,Maharashtra,Ahmednagar,2021,1,2684.52
jowar,Maharashtra,Akola,2021,1,1009.79
jowar,Maharashtra,Amarawati,2021,1,1183.86
jowar,Maharashtra,Beed,2021,1,1416.95
jowar,Maharashtra,Buldhana,2021,1,1053.2
jowar,Maharashtra,Chattrapati Sambhajinagar,2021,1,1586.27
jowar,Maharashtra,Dharashiv(Usmanabad),2021,1,1450.98
jowar,Maharashtra,Dhule,2021,1,1280.72
jowar,Maharashtra,Hingoli,2021,1,1422.64
jowar,Maharashtra,Jalana,2021,1,1944.29
jowar,Maharashtra,Jalgaon,2021,1,1559.84
jowar,Maharashtra,Latur,2021,1,1557.41
jowar,Maharashtra,Mumbai,2021,1,3558.42
jowar,Maharashtra,Nagpur,2021,1,2719.32
jowar,Maharashtra,Nanded,2021,1,1192.63
jowar,Maharashtra,Nandurbar,2021,1,1286.01
jowar,Maharashtra,Nashik,2021,1,1420.41
jowar,Maharashtra,Parbhani,2021,1,2138.04
jowar,Maharashtra,Pune,2021,1,4441.04
jowar,Maharashtra,Raigad,2021,1,2407.4
jowar,Maharashtra,Sangli,2021,1,3052.59
jowar,Maharashtra,Satara,2021,1,2996.0
jowar,Maharashtra,Sholapur,2021,1,3331.08
jowar,Maharashtra,Vashim,2021,1,1200.0
jowar,Maharashtra,Wardha,2021,1,1000.0
jowar,Maharashtra,Yavatmal,2021,1,1813.08
jowar,Maharashtra,Ahmednagar,2021,4,2686.28
jowar,Maharashtra,Akola,2021,4,942.32
jowar,Maharashtra,Amarawati,2021,4,1322.83
jowar,Maharashtra,Beed,2021,4,1869.81
jowar,Maharashtra,Buldhana,2021,4,1233.24
jowar,Maharashtra,Chattrapati Sambhajinagar,2021,4,2131.0
jowar,Maharashtra,Dharashiv(Usmanabad),2021,4,2271.02
jowar,Maharashtra,Dhule,2021,4,2591.62
jowar,Maharashtra,Hingoli,2021,4,1562.5
jowar,Maharashtra,Jalana,2021,4,1949.34
jowar,Maharashtra,Jalgaon,2021,4,1620.15
jowar,Maharashtra,Latur,2021,4,1771.04
jowar,Maharashtra,Mumbai,2021,4,3558.63
jowar,Maharashtra,Nagpur,2021,4,2500.0
jowar,Maharashtra,Nanded,2021,4,1179.36
jowar,Maharashtra,Nandurbar,2021,4,1860.97
jowar,Maharashtra,Nashik,2021,4,1675.25
jowar,Maharashtra,Parbhani,2021,4,1872.07
jowar,Maharashtra,Pune,2021,4,3312.94
jowar,Maharashtra,Raigad,2021,4,2473.83
jowar,Maharashtra,Sangli,2021,4,3096.6
jowar,Maharashtra,Satara,2021,4,3150.0
jowar,Maharashtra,Sholapur,2021,4,3261.33
jowar,Maharashtra,Vashim,2021,4,1430.5
jowar,Maharashtra,Yavatmal,2021,4,1269.43
jowar,Maharashtra,Ahmednagar,2021,7,2079.89
jowar,Maharashtra,Akola,2021,7,1136.23
jowar,Maharashtra,Amarawati,2021,7,1473.16
jowar,Maharashtra,Beed,2021,7,1539.75
jowar,Maharashtra,Buldhana,2021,7,1389.86
jowar,Maharashtra,Chattrapati Sambhajinagar,2021,7,1733.4
jowar,Maharashtra,Dharashiv(Usmanabad),2021,7,1586.04
jowar,Maharashtra,Dhule,2021,7,1702.42
jowar,Maharashtra,Hingoli,2021,7,1321.32
jowar,Maharashtra,Jalana,2021,7,1677.45
jowar,Maharashtra,Jalgaon,2021,7,1545.75
jowar,Maharashtra,Latur,2021,7,1508.97
jowar,Maharashtra,Mumbai,2021,7,3220.73
jowar,Maharashtra,Nagpur,2021,7,970.0
jowar,Maharashtra,Nanded,2021,7,1648.3
jowar,Maharashtra,Nandurbar,2021,7,1456.3
jowar,Maharashtra,Nashik,2021,7,1761.22
jowar,Maharashtra,Parbhani,2021,7,1470.09
jowar,Maharashtra,Pune,2021,7,4407.79
jowar,Maharashtra,Raigad,2021,7,1981.66
jowar,Maharashtra,Sangli,2021,7,3237.75
jowar,Maharashtra,Satara,2021,7,2725.0
jowar,Maharashtra,Sholapur,2021,7,2122.14
jowar,Maharashtra,Thane,2021,7,3307.27
jowar,Maharashtra,Vashim,2021,7,1306.54
jowar,Maharashtra,Wardha,2021,7,1121.82
jowar,Maharashtra,Yavatmal,2021,7,1713.02
jowar,Maharashtra,Ahmednagar,2021,10,1764.34
jowar,Maharashtra,Akola,2021,10,1165.43
jowar,Maharashtra,Amarawati,2021,10,1310.29
jowar,Maharashtra,Beed,2021,10,1354.57
jowar,Maharashtra,Buldhana,2021,10,1258.47
jowar,Maharashtra,Chattrapati Sambhajinagar,2021,10,1583.64
jowar,Maharashtra,Dharashiv(Usmanabad),2021,10,1476.92
jowar,Maharashtra,Dhule,2021,10,1641.02
jowar,Maharashtra,Hingoli,2021,10,1423.75
jowar,Maharashtra,Jalana,2021,10,1558.69
jowar,Maharashtra,Jalgaon,2021,10,1490.11
jowar,Maharashtra,Latur,2021,10,1357.61
jowar,Maharashtra,Mumbai,2021,10,3000.0
jowar,Maharashtra,Nagpur,2021,10,1158.33
jowar,Maharashtra,Nanded,2021,10,1256.86
jowar,Maharashtra,Nandurbar,2021,10,1486.85
jowar,Maharashtra,Nashik,2021,10,1441.46
jowar,Maharashtra,Parbhani,2021,10,1420.14
jowar,Maharashtra,Pune,2021,10,3966.54
jowar,Maharashtra,Raigad,2021,10,1576.34
jowar,Maharashtra,Sangli,2021,10,3002.52
jowar,Maharashtra,Satara,2021,10,1866.02
jowar,Maharashtra,Sholapur,2021,10,2428.98
jowar,Maharashtra,Thane,2021,10,3000.0
jowar,Maharashtra,Vashim,2021,10,1360.36
jowar,Maharashtra,Wardha,2021,10,1055.83
