,,,"District-wise Wholesale Prices Monthly Analysis for Bajra(Pearl Millet/Cumbu) in Maharashtra - July, 2025",,
District,"Prices July, 2025 (Rs./Quintal)","Prices June, 2025 (Rs./Quintal)","Prices July, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2312.94,2380.18,2470.15,-2.8%,-6.4%
Akola,2180.77,2211.54,2221.43,-1.4%,-1.8%
Amarawati,2202.37,2120.88,2358.6,3.8%,-6.6%
Beed,2536.28,2382.54,2576.09,6.5%,-1.6%
Buldhana,2167.48,2004.93,2149.93,8.1%,0.8%
Chattrapati Sambhajinagar,2491.74,2365.69,2384.17,5.3%,4.5%
Dharashiv(Usmanabad),2268.54,1871.75,2650.11,21.2%,-14.4%
Dhule,2361.25,2289.22,2380.06,3.1%,-0.8%
Jalana,2695.09,2446.22,2457.41,10.2%,9.7%
Jalgaon,2401.08,2355.59,2434.92,1.9%,-1.4%
Mumbai,3100.58,3149.28,3150.0,-1.6%,-1.6%
Nanded,2000.0,-,-,-,-
Nandurbar,2283.59,2032.39,2328.34,12.4%,-1.9%
Nashik,2411.25,2329.34,2563.6,3.5%,-5.9%
Parbhani,2054.84,1904.12,2018.43,7.9%,1.8%
Pune,3375.58,3243.56,3216.13,4.1%,5.0%
Sangli,2981.36,2988.74,2757.14,-0.2%,8.1%
Satara,-,2671.2,-,-,-
Sholapur,2250.9,2412.22,2557.38,-6.7%,-12.0%
Thane,3096.8,3000.0,-,3.2%,-
Vashim,2223.45,2164.65,2080.12,2.7%,6.9%
Yavatmal,2148.48,2121.58,2192.02,1.3%,-2.0%
Average,2454.49,2402.17,2470.84,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

