,,,"District-wise Wholesale Prices Monthly Analysis for Bajra(Pearl Millet/Cumbu) in Maharashtra - October, 2025",,
District,"Prices October, 2025 (Rs./Quintal)","Prices September, 2025 (Rs./Quintal)","Prices October, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2319.63,2406.31,2369.37,-3.6%,-2.1%
Akola,2237.88,2305.25,2242.86,-2.9%,-0.2%
Amarawati,2194.63,2196.67,2454.86,-0.1%,-10.6%
Beed,2541.0,2580.29,2549.47,-1.5%,-0.3%
Buldhana,2286.04,2189.37,2265.94,4.4%,0.9%
Chattrapati Sambhajinagar,2494.51,2480.83,2513.01,0.6%,-0.7%
Dharashiv(Usmanabad),2479.47,2479.55,2546.82,-0.0%,-2.6%
Dhule,2248.58,2458.8,2460.39,-8.6%,-8.6%
Jalana,2708.09,2752.71,2534.23,-1.6%,6.9%
Jalgaon,2362.2,2440.5,2496.54,-3.2%,-5.4%
Mumbai,3500.0,3500.0,3500.0,-,-
Nandurbar,2145.96,2651.51,2454.15,-19.1%,-12.6%
Nashik,2262.2,2336.92,2513.97,-3.2%,-10.0%
Parbhani,2415.57,2490.6,2565.48,-3.0%,-5.8%
Pune,3321.74,3177.55,3418.08,4.5%,-2.8%
Sangli,2896.22,2977.32,2813.91,-2.7%,2.9%
Satara,2700.0,2714.38,2500.0,-0.5%,8.0%
Sholapur,1964.08,2252.47,2194.59,-12.8%,-10.5%
Thane,2993.97,3122.22,2997.5,-4.1%,-0.1%
Vashim,2140.3,2226.14,2169.0,-3.9%,-1.3%
Yavatmal,2608.85,2382.06,2074.61,9.5%,25.8%
Average,2515.28,2577.21,2554.04,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

