,,,"District-wise Wholesale Prices Monthly Analysis for Bajra(Pearl Millet/Cumbu) in Maharashtra - March, 2026",,
District,"Prices March, 2026 (Rs./Quintal)","Prices February, 2026 (Rs./Quintal)","Prices March, 2025 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2136.63,2233.13,2591.97,-4.3%,-17.6%
Akola,-,-,2900.0,-,-
Amarawati,2446.43,2515.62,2907.0,-2.8%,-15.8%
Beed,2611.76,2792.06,2609.07,-6.5%,0.1%
Buldhana,2365.26,2391.62,2491.27,-1.1%,-5.1%
Chattrapati Sambhajinagar,2248.11,2574.29,2780.75,-12.7%,-19.1%
Dharashiv(Usmanabad),-,2760.67,2325.5,-,-
Dhule,2401.14,2140.89,2612.0,12.2%,-8.1%
Jalana,2667.32,2792.12,2636.44,-4.5%,1.2%
Jalgaon,2429.54,2508.8,2579.16,-3.2%,-5.8%
Mumbai,4000.0,4000.0,3900.0,-,2.6%
Nandurbar,1821.74,2037.65,2453.57,-10.6%,-25.8%
Nashik,1958.8,2299.22,2576.92,-14.8%,-24.0%
Parbhani,2300.0,2533.19,2782.21,-9.2%,-17.3%
Pune,3861.04,3793.09,3275.95,1.8%,17.9%
Sangli,3138.0,3138.48,3137.08,-0.0%,-
Sholapur,2120.0,1835.38,2307.31,15.5%,-8.1%
Thane,2998.74,2972.64,2920.22,0.9%,2.7%
Vashim,-,-,2110.71,-,-
Yavatmal,2000.0,-,2439.05,-,-18.0%
Average,2559.09,2665.81,2716.81,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

