,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - October, 2024",,
District,"Prices October, 2024 (Rs./Quintal)","Prices September, 2024 (Rs./Quintal)","Prices October, 2023 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,3115.78,2944.17,4290.3,5.8%,-27.4%
Akola,2182.67,2339.08,2858.01,-6.7%,-23.6%
Amarawati,2124.66,2284.6,2491.68,-7.0%,-14.7%
Beed,2252.06,2295.72,3848.62,-1.9%,-41.5%
Buldhana,2126.47,2232.83,2807.18,-4.8%,-24.2%
Chattrapati Sambhajinagar,2321.3,2328.79,3765.05,-0.3%,-38.4%
Dharashiv(Usmanabad),2396.42,2506.26,4582.17,-4.4%,-47.7%
Dhule,2215.86,2333.81,3163.79,-5.0%,-30.0%
Hingoli,1813.42,1835.35,2843.17,-1.2%,-36.2%
Jalana,2376.38,2380.35,3799.51,-0.2%,-37.5%
Jalgaon,2240.01,2305.36,3240.02,-2.8%,-30.9%
Latur,2074.15,2240.21,4024.46,-7.4%,-48.5%
Mumbai,4700.0,4671.85,5000.0,0.6%,-6.0%
Nagpur,2578.57,3150.0,-,-18.1%,-
Nanded,2135.06,2277.13,2499.93,-6.2%,-14.6%
Nandurbar,2031.1,2436.66,2825.67,-16.6%,-28.1%
Nashik,2262.58,2335.77,3088.86,-3.1%,-26.8%
Parbhani,2213.15,2253.25,3645.71,-1.8%,-39.3%
Pune,4817.25,5383.36,5989.17,-10.5%,-19.6%
Raigad,-,-,4371.88,-,-
Sangli,3234.75,3387.13,3465.0,-4.5%,-6.7%
Satara,2712.9,2919.65,5375.0,-7.1%,-49.5%
Sholapur,3364.73,3212.54,4795.43,4.7%,-29.8%
Thane,3754.88,3706.73,4250.0,1.3%,-11.7%
Vashim,2099.97,2241.82,2671.33,-6.3%,-21.4%
Wardha,1988.63,2151.9,-,-7.6%,-
Yavatmal,2147.41,2268.44,2642.97,-5.3%,-18.8%
Average,2587.7,2708.57,3693.4,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

