,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - January, 2025",,
District,"Prices January, 2025 (Rs./Quintal)","Prices December, 2024 (Rs./Quintal)","Prices January, 2024 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,3079.02,2964.46,4000.31,3.9%,-23.0%
Akola,2060.72,2057.25,2556.14,0.2%,-19.4%
Amarawati,2041.33,1984.75,2475.0,2.9%,-17.5%
Beed,2285.53,2283.34,2960.09,0.1%,-22.8%
Buldhana,1954.15,1985.69,2672.06,-1.6%,-26.9%
Chattrapati Sambhajinagar,2146.38,2399.51,2667.05,-10.6%,-19.5%
Dharashiv(Usmanabad),2507.35,2571.74,3799.92,-2.5%,-34.0%
Dhule,2215.34,2087.87,2586.11,6.1%,-14.3%
Hingoli,1839.63,1895.2,2718.42,-2.9%,-32.3%
Jalana,2372.69,2445.98,2941.1,-3.0%,-19.3%
Jalgaon,2075.7,2630.31,2868.87,-21.1%,-27.6%
Latur,2149.26,2192.34,3550.17,-2.0%,-39.5%
Mumbai,4677.31,4487.03,5229.54,4.2%,-10.6%
Nagpur,3542.13,3183.33,-,11.3%,-
Nanded,2160.76,2132.15,2450.5,1.3%,-11.8%
Nandurbar,2377.52,2106.3,2843.33,12.9%,-16.4%
Nashik,2428.86,2211.42,3000.52,9.8%,-19.1%
Parbhani,2171.84,2233.04,3162.25,-2.7%,-31.3%
Pune,4876.05,5094.64,6238.51,-4.3%,-21.8%
Raigad,-,-,3084.85,-,-
Sangli,3576.98,3639.31,3794.5,-1.7%,-5.7%
Satara,2453.12,2684.35,4227.78,-8.6%,-42.0%
Sholapur,2889.25,3158.14,4424.92,-8.5%,-34.7%
Thane,3681.13,3639.47,4580.51,1.1%,-19.6%
Vashim,1976.37,2018.57,2725.0,-2.1%,-27.5%
Wardha,1758.18,1814.09,-,-3.1%,-
Yavatmal,2138.52,2139.32,-,-0.0%,-
Average,2593.66,2616.91,3398.23,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

