,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Karnataka - January, 2021",,
District,"Prices January, 2021 (Rs./Quintal)","Prices December, 2020 (Rs./Quintal)","Prices January, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Bagalkot,1150.0,2204.57,2048.57,-47.8%,-43.9%
Bangalore,2676.44,2887.19,3294.56,-7.3%,-18.8%
Belgaum,1647.29,1753.83,3017.42,-6.1%,-45.4%
Bellary,1428.22,1423.33,2084.44,0.3%,-31.5%
Bidar,3316.98,3391.91,3322.44,-2.2%,-0.2%
Bijapur,2733.33,2400.0,-,13.9%,-
Chitradurga,-,1300.0,-,-,-
Davangere,1220.5,1164.99,2310.0,4.8%,-47.2%
Dharwad,2159.53,2783.74,2806.51,-22.4%,-23.1%
Gadag,1638.55,1741.6,3015.89,-5.9%,-45.7%
Haveri,1682.12,1965.85,2523.78,-14.4%,-33.4%
Kalburgi,3126.98,3210.85,3811.11,-2.6%,-17.9%
Kolar,-,-,1900.0,-,-
Koppal,1853.18,997.81,2396.45,85.7%,-22.7%
Mysore,-,-,3220.0,-,-
Raichur,1767.62,1859.91,2104.49,-5.0%,-16.0%
Shimoga,3350.0,3300.0,3473.33,1.5%,-3.5%
Tumkur,-,-,1700.0,-,-
Average,2125.05,2159.04,2689.31,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

