,,,"District-wise Wholesale Prices Monthly Analysis for Jowar(Sorghum) in Maharashtra - January, 2021",,
District,"Prices January, 2021 (Rs./Quintal)","Prices December, 2020 (Rs./Quintal)","Prices January, 2020 (Rs./Quintal)",Change (Over Previous Month),Change (Over Previous Year)
Ahmednagar,2684.52,2680.0,3550.25,0.2%,-24.4%
Akola,1009.79,1121.81,1501.22,-10.0%,-32.7%
Amarawati,1183.86,1935.03,1873.1,-38.8%,-36.8%
Beed,1416.95,1726.66,2268.09,-17.9%,-37.5%
Buldhana,1053.2,1268.66,1559.01,-17.0%,-32.4%
Chattrapati Sambhajinagar,1586.27,2029.68,3105.9,-21.9%,-48.9%
Dharashiv(Usmanabad),1450.98,1712.98,3494.67,-15.3%,-58.5%
Dhule,1280.72,1156.96,1661.16,10.7%,-22.9%
Hingoli,1422.64,1391.61,1479.55,2.2%,-3.9%
Jalana,1944.29,2069.5,3415.5,-6.0%,-43.1%
Jalgaon,1559.84,1523.64,1598.21,2.4%,-2.4%
Latur,1557.41,1684.1,1672.66,-7.5%,-6.9%
Mumbai,3558.42,3505.57,4052.54,1.5%,-12.2%
Nagpur,2719.32,1001.0,1751.67,171.7%,55.2%
Nanded,1192.63,1185.07,1502.3,0.6%,-20.6%
Nandurbar,1286.01,1346.63,1943.83,-4.5%,-33.8%
Nashik,1420.41,1297.2,2130.29,9.5%,-33.3%
Parbhani,2138.04,1698.65,3415.6,25.9%,-37.4%
Pune,4441.04,4700.92,4568.48,-5.5%,-2.8%
Raigad,2407.4,2316.3,3391.83,3.9%,-29.0%
Sangli,3052.59,2979.24,6498.34,2.5%,-53.0%
Satara,2996.0,3172.73,3812.24,-5.6%,-21.4%
Sholapur,3331.08,3354.52,3518.02,-0.7%,-5.3%
Thane,-,-,2814.44,-,-
Vashim,1200.0,1233.33,1610.94,-2.7%,-25.5%
Wardha,1000.0,-,-,-,-
Yavatmal,1813.08,1377.5,1707.67,31.6%,6.2%
Average,1950.25,1978.77,2688.37,-,-

Note:
Weighted Average Price = ∑(arrival quantity * modal price) / ∑arrival quantity
Change (Over Previous Month) = [Price - Price(Over Previous Month)/Price(Over Previous Month)] * 100
Change (Over Previous Year) = [Price - Price(Over Previous Year)/Price(Over Previous Year)] * 100

